Date	MOSAIC.CMS	XEM	JPYZ	ZAIF	MONA	BCH	FSCC	XCP	CICC	PEPECASH	ERC20.CMS	NCXC	BTC	ETH	BITCRYSTALS	SJCX
2017/01/01		0.428		0.68	2.8		9.5	237.6					117340.0		13.2	11.0
2017/01/02		0.4083		0.85	2.9		10.0	237.6					121795.0		13.2	11.0
2017/01/03		0.415		0.6	2.9		8.0	198.0					121905.0		16.0	16.8
2017/01/04		0.418		0.61	2.8		8.0	220.0					132500.0		16.0	11.001
2017/01/05		0.412		0.79	3.1		8.0	250.0					111680.0		13.2	11.001
2017/01/06		0.3957		0.79	2.9		8.0	250.0					109265.0		16.0	11.001
2017/01/07		0.3951		0.54	2.9		8.0	250.0					106340.0		13.1919	11.0
2017/01/08		0.402		0.65	2.9		8.0	250.0					108745.0		13.1919	11.0
2017/01/09		0.41		0.76	2.9		9.0	250.0					105470.0		13.2	16.669
2017/01/10		0.426		0.76	2.9		9.0	250.0					106605.0		12.001	16.669
2017/01/11		0.4001		0.57	2.9		8.0001	250.0					95725.0		12.001	11.0
2017/01/12		0.405		0.76	3.0		8.0001	250.0					88810.0		12.0	11.0
2017/01/13		0.432		0.77	3.0		8.0001	250.0		0.0964			93460.0		15.5	14.6
2017/01/14		0.43		0.7699	3.0		8.0001	250.0		0.0689			94785.0		11.5	14.6
2017/01/15		0.424		0.769	2.9		8.0001	250.0		0.0544			93870.0		11.5	14.6
2017/01/16		0.428		0.671	3.0		8.0001	250.0		0.0415			95635.0		15.5	14.6
2017/01/17		0.42		0.6706	3.0		8.0001	260.0		0.0415			101300.0		15.5	14.6
2017/01/18		0.401		0.6706	3.0		3.0	230.0		0.0333			98510.0		15.0	14.6
2017/01/19		0.4101		0.6706	3.0		7.8	230.0		0.04			101955.0		15.0	16.5
2017/01/20		0.424		0.65	3.1		7.7775	260.0		0.035			102870.0		15.0	16.98
2017/01/21		0.4238		0.7789	3.0		7.7775	230.0		0.05			106000.0		15.0	16.97
2017/01/22		0.423		0.7786	3.0		7.7775	230.0		0.05			104830.0		15.0	17.47
2017/01/23		0.425		0.7777	3.1		7.7775	230.0		0.05			105840.0		13.0	17.47
2017/01/24		0.4289		0.7787	3.1		7.7775	230.0		0.05			103630.0		13.0	17.47
2017/01/25		0.4515		0.7789	2.9		7.7775	260.0		0.0505			101865.0		13.0	17.47
2017/01/26		0.5899		0.7789	3.0		7.7	250.0		0.06			104265.0		15.0	15.0
2017/01/27		0.5601		0.6	3.0		7.0	250.0		0.05			105760.0		15.0	15.0
2017/01/28		0.59		0.7699	3.0		7.0	254.0001		0.1			106005.0		16.0	15.0
2017/01/29		0.602		0.7789	3.0		7.7	330.0		0.1			105990.0		19.5	18.0
2017/01/30		0.5918		0.6	3.0		7.7	435.0		0.12			105970.0		19.5	16.0
2017/01/31		0.5921		0.7777	3.1		7.7	340.0		0.1327			107435.0		15.0	16.0
2017/02/01		0.624		0.68	2.9		7.7	380.0		0.127			111255.0		21.0	16.0005
2017/02/02		0.68		0.7785	3.1		7.7	380.0		0.1255			113600.0		17.0	16.0005
2017/02/03		0.7411		0.7299	3.0		7.5	400.0		0.16			116695.0		14.0	16.0005
2017/02/04		0.8003		0.7199	3.1		7.4	400.0		0.1893			116660.0		24.0	16.0005
2017/02/05		0.725		0.65	3.0		6.0	300.0		0.2136			116945.0		12.0	16.0
2017/02/06		0.6604		0.65	3.1		3.9	300.0		0.19			117550.0		15.0	15.0
2017/02/07		0.7699		0.7197	3.1		3.9	450.0		0.2015			119635.0		28.5	14.0
2017/02/08		0.7211		0.7198	3.3		4.1	402.0		0.2099			120570.0		28.5	14.0
2017/02/09		0.73		0.75	3.4		4.11	444.4444		0.2076			112200.0		30.0	14.0
2017/02/10		0.7075		0.6996	3.4		4.12	440.0		0.18			110965.0		17.0	17.9
2017/02/11		0.772		0.73	3.4		4.12	399.0		0.2244			114935.0		17.0	17.9
2017/02/12		0.8		0.725	3.4		4.12	340.0		0.2489			114180.0		32.8	17.9
2017/02/13		0.78		0.77	3.4		4.12	400.0		0.37			115305.0		34.2	17.9
2017/02/14		0.7901		0.745	3.4		7.1	450.0		0.4501			116785.0		34.3	14.0
2017/02/15		0.813		0.7	3.3		7.1	450.0		0.401			117420.0		23.0	14.0
2017/02/16		0.8288		0.7788	3.2		7.189	450.0		0.385			118680.0		23.0	14.0
2017/02/17		0.815		0.7789	3.3		6.0	449.0		0.355			121480.0		31.0	13.5
2017/02/18		0.782		0.72	3.4		6.0	410.0		0.32			121625.0		28.0	13.5
2017/02/19		0.7331		0.715	3.2		6.0	380.0		0.2802			121115.0		28.0	13.5
2017/02/20		0.76		0.7787	3.3		6.0	380.0		0.345			121650.0		28.0	13.5
2017/02/21		0.7335		0.715	3.4		6.9	500.0		0.334			127095.0		30.0	13.5
2017/02/22		0.745		0.79	3.3		5.0	499.9999		0.3223			129720.0		28.0	15.0
2017/02/23		0.78		0.799	3.4		5.0	479.0		0.3007			131950.0		30.0	15.0
2017/02/24		0.79		0.7776	3.5		6.6666	360.0		0.3467			137090.0		30.0	25.0
2017/02/25		0.75		0.77	3.5		3.8	351.0		0.3346			134505.0		30.0	13.6
2017/02/26		0.74		0.7776	3.5		3.8	351.0		0.346			134160.0		20.3	13.6
2017/02/27		0.7497		0.81	3.6		3.6	400.0	18.0	0.3445			134355.0		20.3	23.0
2017/02/28		0.795		0.83	3.7		5.5	500.0	5.9	0.3225			136630.0		25.7	22.2222
2017/03/01		0.93		0.8	4.1		5.5	352.0001	4.5	0.2875			141540.0		18.0	23.0
2017/03/02		0.99		0.7745	5.3		5.5	475.0	4.2	0.2742			145120.0		18.0	23.0
2017/03/03		1.041		0.831	5.8		5.3	400.0	4.4	0.2618			149565.0		24.0	24.0
2017/03/04		1.157		0.796	6.2		5.2	350.0	4.3	0.2498			148005.0		24.0	24.0
2017/03/05		1.3399		0.849	5.1		5.2	420.0	4.0	0.2375			146770.0		24.0	24.0
2017/03/06		1.3294		0.87	5.1		5.0	415.0	3.85	0.2257			148490.0		23.9998	24.0
2017/03/07		1.3		0.89	5.5		5.3	440.0	3.7	0.272			144980.0		23.9999	22.2222
2017/03/08		1.16		0.8	5.3		5.3	350.0	2.3	0.2257			139915.0		23.9999	22.2222
2017/03/09		1.0797		0.68	5.1		3.9	399.0	2.5	0.21			137770.0		23.9	22.2222
2017/03/10		1.0502		0.685	4.9		3.9	351.0	2.0	0.2376			145000.0		26.5	17.5
2017/03/11		1.2299		0.83	4.9		5.2	351.0	2.0	0.2377			139260.0		19.0	17.5
2017/03/12		1.2097		0.83	4.8		5.2	350.0	2.5	0.2257			140320.0		26.5	22.0
2017/03/13		1.24		0.82	5.1		5.2	397.0	2.5	0.2249			144405.0		26.0	15.3
2017/03/14		1.35		0.8195	5.0		5.2	472.0	2.2	0.2155			145245.0		26.0	25.0
2017/03/15		1.3228		0.819	4.9		6.5	444.4444	1.6	0.2363			145275.0		26.0	15.5
2017/03/16		1.2793		0.819	5.0		6.5	460.0	2.0	0.262			141390.0		26.0	15.5
2017/03/17		1.293		0.819	4.9		6.5	453.9999	1.6	0.2501			135210.0		26.0	22.0
2017/03/18		1.35		0.6851	4.9		5.4	366.0	1.5	0.2257			116610.0		26.0	22.0
2017/03/19		1.6399		0.7875	4.7		3.34	360.0	1.5	0.2002			116165.0		18.0	16.0
2017/03/20		1.8966		0.7499	4.6		5.0	385.0	1.4921	0.2255			121265.0		18.5	16.0001
2017/03/21		1.74		0.7497	4.6		5.0	380.0	1.492	0.2256			125530.0		25.0	21.76
2017/03/22		1.7998		0.6705	4.5		5.0	380.0	1.14	0.2379			115800.0		25.0	21.76
2017/03/23		1.7318		0.7	4.6		5.0	380.0	1.14	0.2137			117635.0		25.0	21.76
2017/03/24		1.6389		0.7477	4.6		5.0	400.0	1.14	0.2579			109995.0		26.0	28.4
2017/03/25		1.3444		0.7	4.9		5.0	321.0	1.11	0.2378			104990.0		26.0	18.1
2017/03/26		1.4985		0.6704	4.6		5.44	375.0	1.1	0.3099			109230.0		26.0	18.1
2017/03/27		1.4976		0.71	4.8		5.44	320.0	0.9	0.37			114080.0		26.0	29.5
2017/03/28		1.4603		0.6703	5.2		5.4	375.0	0.7	0.39			118300.0		25.0	29.5
2017/03/29		1.56		0.671	5.4		5.4	375.0	0.7	0.4444			117110.0		25.0	28.0
2017/03/30		1.6183		0.72	5.6		5.4	380.0	0.7	0.42			115530.0		28.0	25.0001
2017/03/31		1.69		0.6703	6.1		5.0	380.0	1.0	0.458			118725.0		18.1	25.0
2017/04/01		1.9177		0.6978	6.3		3.3	333.0	1.0	0.424			121945.0		18.1	26.0
2017/04/02		1.9978		0.698	6.1		3.3	333.0	1.0	0.44			122045.0		24.0	26.0
2017/04/03		2.24		0.6985	6.0		3.3	490.0	0.61	0.41			127450.0		19.0	27.5
2017/04/04		2.076		0.69	6.1		4.5	500.0	0.9999	0.4111			126005.0		30.0	31.0
2017/04/05		2.027		0.75	6.3		4.5	495.0	0.635	0.4799			127685.0		30.0	25.0001
2017/04/06		1.88		0.785	6.2		3.1	355.1	0.635	0.4797			130840.0		30.0	25.0001
2017/04/07		2.0		0.786	7.2		3.1	494.8	0.99	0.4666			133580.0		30.0	25.0001
